ContentItemId,Abstract,Ancilary Data,ARDA Subject Category,ARDA Volume and Issue,Personal Author,Availability,Bibliographic Type Code,Bibliographic Level,Bibtype Name,CD Number,CD Fulltext Database,CD Fulltext Contributing Office,Contract/Grant Number,Cost of Electronic Copy,Cost of Microfiche,Cost of Paper Copy,Date Abstracted and Indexed,Create Date for CD,Date Cataloging Proofed,Date Indexed Only,Date Processing Complete,Date Prepared for Filming,Date of Publication Freeforrm,Date of Publication Fixed,Date of Expected Release to Public,Date Refilmed,Date Returned from Filmer,Date Sent Abstracting Indexing,Date Sent to Filmer,Descriptions from Thesaurus,Secondary Descriptors,Descriptors Geographic,DESCTEMP,Document ID,Edition,Entered By,AID Contact Number Evaluated,Total Evaluation Cost,Exclude from Prjdoc View,File Format,Fulltext External Reference,File Size,File Software and Version,Fulltext,USAID Geography Code,USAID Geography Name,Related Object Link,New Thesaurus Terms,Institution Authority Code,Institution Name,Institution Role,Inventory Location,Inventory Quantity,ISBN,Language of Text,Mime Type,Notation,NTIS Number,Number of Fiche,Number of Fiche Frames,Stategic Objective Number,Pagination,Collation Notes,Prepped By,Project Number,Project9 Prime Dve Activity,Project Sub Number,REC_NO,Related Docs Links,Report Number,Batch,Box,Shelf Location,Special Processing Instructions,Primary Subject,Document Title,Series Title,Document Title Translated,Title Word Alternate Spelling,Web Collection,Abstract or Index,ABIN load Check Field,USAID Project Number,File,Institution or USAID Bureau Author,Institution or USAID Sponsor,Institution or USAID Publisher,Restricted to USAID Only,Language ISO1 Code,Class,Date Processing Started,Category,DateCreated,DateModified,Active,File Processed,Selected for Cataloguing,Not Selected for Cataloguing,Proofed,Indexed,Processing Complete,Restricted,fliqzid,inmCreatedBy,inmWatchers,Thumbnail,Descriptors_Geographic_t,Descriptors_Geographic_t_date,Language_of_Text_t,Language_of_Text_t_date
158921,,"NESA Regional Irrigation Practices Seminar, 2nd (1958 : Tehran, IR)",,,,,52,M,Conference Proceedings/Paper,,,,,,,35.49,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1958,1958,,,,,,Personnel development,,Middle East|South Asia,,PN-AAE-282,,,,,True,F,,,,,,,,,133,USAID. Bur. for Near East. Ofc. of Technical Support,A,,1|1,,English,,N05.S|G15.4|G15.6,,,,,,,,,,,6268,,,,,,FROM RANDD,AD30,Proceedings,,,,,,6268PN-AAE-282,,,000133 - USAID. Bur. for Near East. Ofc. of Technical Support,,,False,En,Irrigated farming and water management,,Thesaurus~Thesaurus Collection~Geographical areas and countries~Asia~South Asia|Notation~Notation Collection~G~G15~G15.6|Thesaurus~Thesaurus Collection~Labor~Personnel management~Personnel development|Document Type~Document Type Collection~Technical Reports (all)~Conference Proceedings/Paper|Notation~Notation Collection~N~N05~N05.S|Notation~Notation Collection~G~G15~G15.4|Thesaurus~Thesaurus Collection~Geographical areas and countries~Asia~Middle East,3/8/1979 5:00:00 AM,2/3/2009 5:00:00 AM,True,,,,,,,,,Guest,,,,,,
158987,,,,,"Mathis, Willis|Schoof, H. F.",,53,A,Periodical/Periodical Analytic,,,,PA/RA(HA)-07-00,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1958,1958,,,,,,Anopheles mosquitoes|Insecticides|Malathion|Pesticide resistance,,,,PN-AAE-348,,,,,True,F|E,,220 KB,PDF,,,,,,1439,U.S. Public Health Service. Centers for Disease Control (CDC),A,,1,,English,application/pdf,T29.42.86.B6.4|A30.22|M02.DN.2|A30.25.8|A30.G,,1,5,,p. 433-437,,,,,,6334,,,,,,FROM RANDD|Converted to searchable PDF 2011-04-18 (exact OCR)|Converted to searchable PDF 2012-03-06 (exact OCR),KH00,Field effectiveness of malathion deposits against dieldrin resistant anopheles quadrimaculatus,"Indian journal of malariology, v. 12, no. 4",,,,,6334PN-AAE-348,,D:\Projects\USAID\PDFs\PNAAE348.pdf,001439 - Centers for Disease Control (CDC) (U.S),,,False,EN,Diseases,,Notation~Notation Collection~M~M02~M02.D~M02.DN~M02.DN.2|Document Type~Document Type Collection~Technical Reports (all)~Periodical/Periodical Analytic|Thesaurus~Thesaurus Collection~Agriculture~Pest control~Pesticide resistance|Notation~Notation Collection~A~A30~A30.2~A30.22|Notation~Notation Collection~A~A30~A30.G|Thesaurus~Thesaurus Collection~Agriculture~Pest control~Pesticides~Insecticides|Notation~Notation Collection~A~A30~A30.2~A30.25~A30.25.8|Thesaurus~Thesaurus Collection~Industry and technology~Materials~Chemical products~Pesticides~Insecticides|Thesaurus~Thesaurus Collection~Agriculture~Pest control~Pesticides~DDT~Malathion|Thesaurus~Thesaurus Collection~Science~Biology~Animals~Invertebrates~Arthropods~Insects~Diptera~Mosquitoes~Anopheles mosquitoes|Notation~Notation Collection~T~T29~T29.4~T29.42~T29.42.8~T29.42.86~T29.42.86.B~T29.42.86.B6~T29.42.86.B6.4,3/8/1979 5:00:00 AM,6/14/2013 3:05:59 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
159437,,French ed.: PN-AAE-811,,7:3,,,63,M,Handbook/Manual,,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1958,1958,,,,,,Economic analysis|Industrial development|Manufacturing,,Latin America,,PN-AAE-810,,,,,True,F|E,,"15,817 KB",PDF,,598,Latin American Regional,,,001085|000203,Stanford Research Institute|USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,A|A,,1,,English,application/pdf,D79.3|M04.T|M06.M4.3|G06.2,,4,330,,,,,,,,6784,,,,,,FROM RANDD|Converted to searchable PDF 2011-04-18 (exact OCR),MA00,"Manual of industrial development, with special application to Latin America","Techniques americaines, no. 9",,,,,6784PN-AAE-810,,D:\Projects\USAID\PDFs\PNAAE810.pdf,001085 - Stanford Research Institute|000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,,False,EN,Industry and technology (General and research),,Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Manufacturing|Notation~Notation Collection~M~M04~M04.T|Notation~Notation Collection~G~G06~G06.2|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.3|Notation~Notation Collection~D~D79~D79.3|Thesaurus~Thesaurus Collection~Geographical areas and countries~America~Latin America|Thesaurus~Thesaurus Collection~Economics~Economic research~Economic analysis|Document Type~Document Type Collection~Reference (all)~Handbook/Manual|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial development,3/8/1979 5:00:00 AM,3/10/2013 7:57:57 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
160400,,,,7:2,,,61,M,Reference Document,Fiche005,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1958,1958,,,,,,Industrial facilities|MANUFACTURING|Potassium carbonate|Small scale enterprises,,,,PN-AAF-779,,,,,True,F|I|E,,"1,919 KB",PDF,,,,,,000743|000203,"Arthur D. Little, Inc.|USAID. Bur. for Technical Assistance. Ofc. of Science and Technology",A|S,,,,English,application/pdf,M04.H|M06.K2.6|M06.M4.3|T15.C2.5F.4|T15.C2.5R.2|P15.VD,,1,9,,,,,,,,7747,,,,,,FROM RANDD|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2007-06-28 (exact OCR),MA00,PLANT REQUIREMENTS FOR MANUFACTURE OF POTASH,"Plant requirement, no. 116",,,,,7747PN-AAF-779,,D:\Projects\USAID\PDFs\PNAAF779.pdf,"000743 - Arthur D. Little, Inc.",000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,False,EN,Industry and technology (General and research),,Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.3|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities|Document Type~Document Type Collection~Reference (all)~Reference Document|Thesaurus~Thesaurus Collection~Science~Physical sciences~Chemistry~Chemicals~Inorganic chemicals~Carbon~Potassium carbonate|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Manufacturing|Notation~Notation Collection~T~T15~T15.C~T15.C2~T15.C2.5~T15.C2.5R~T15.C2.5R.2|Notation~Notation Collection~P~P15~P15.V~P15.VD|Thesaurus~Thesaurus Collection~Science~Physical sciences~Chemistry~Chemicals~Inorganic chemicals~Potassium~Potassium carbonate|Notation~Notation Collection~M~M04~M04.H|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities|Thesaurus~Thesaurus Collection~Management~Organizations~Business enterprises~Small scale enterprises|Notation~Notation Collection~T~T15~T15.C~T15.C2~T15.C2.5~T15.C2.5F~T15.C2.5F.4,3/8/1979 5:00:00 AM,3/10/2013 8:02:25 PM,True,False,False,False,False,False,False,,,Guest,,,,,,
160427,,,,7:2,,Best available copy,61,M,Reference Document,Fiche005,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1958,1958,,,,,,Industrial facilities|Metalworking industry|MANUFACTURING|Steelmaking|Small scale enterprises,,,,PN-AAF-806,,,,,True,F|I|E,,"13,013 KB",PDF,,,,,,000265|000203,"George H. Andrews Engineering Associates, Inc.|USAID. Bur. for Technical Assistance. Ofc. of Science and Technology",A|S,,,,English,application/pdf,M04.H|M06.K2.6|M04.3E|M06.M4.3|M06.M4.L9|P15.VD,,1,44,,,,,,,,7774,,,,,,FROM RANDD|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2008-10-16 (exact OCR),MA00,PLANT REQUIREMENTS TO SET UP AND OPERATE A SMALL STEEL ROLLING MILL,"Plant requirement, no. 117",,,,,7774PN-AAF-806,,D:\Projects\USAID\PDFs\PNAAF806.pdf,"000265 - George H. Andrews Engineering Associates, Inc.",000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,False,EN,Industry and technology (General and research),,Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Metallurgical processes~Steelmaking|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.3|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Manufacturing|Notation~Notation Collection~P~P15~P15.V~P15.VD|Notation~Notation Collection~M~M04~M04.H|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.L~M06.M4.L9|Document Type~Document Type Collection~Reference (all)~Reference Document|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Heavy industries~Metalworking industry|Notation~Notation Collection~M~M04~M04.3~M04.3E|Thesaurus~Thesaurus Collection~Management~Organizations~Business enterprises~Small scale enterprises|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities,3/8/1979 5:00:00 AM,3/10/2013 8:02:46 PM,True,False,False,False,False,False,False,,,Guest,,,,,,
162671,,,,,"LONERGAN, R. P.|HALL, L. B.",,54,A,Other USAID Supported Study/Document,,,,PA-5903-7,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1958,1958,,,,,,INSECTICIDES|Pesticide spraying|Equipment maintenance,,,,PN-RAB-662,,,,,True,F|E,,413 KB,PDF,,,,,,1439,U.S. Public Health Service. Centers for Disease Control (CDC),A,,,,English,application/pdf,A30.22|M02.DN.2|A30.C5|P03.I2|P03.L2,,1,12,,p. 1073-1083,,,,,,10018,,,,,,FROM RANDD|Converted to searchable PDF 2011-05-10 (exact OCR),KH00,METHOD OF PREDICTING THE EFFECT OF NOZZLE EROSION FROM WATER-WETTABLE INSECTICIDES ON THE DISCHARGE RATES OF NOZZLES,"WORLD HEALTH ORGANIZATION BULLETIN, v. 19",,,,,10018PN-RAB-662,,D:\Projects\USAID\PDFs\PNRAB662.pdf,001439 - Centers for Disease Control (CDC) (U.S),,,False,EN,Diseases,,Notation~Notation Collection~A~A30~A30.C~A30.C5|Notation~Notation Collection~A~A30~A30.2~A30.22|Thesaurus~Thesaurus Collection~Agriculture~Pest control~Pesticide application~Pesticide spraying|Thesaurus~Thesaurus Collection~Agriculture~Pest control~Pesticides~Insecticides|Notation~Notation Collection~P~P03~P03.I~P03.I2|Thesaurus~Thesaurus Collection~Management~Management operations~Equipment~Equipment maintenance|Document Type~Document Type Collection~Technical Reports (all)~Other USAID Supported Study/Document|Notation~Notation Collection~M~M02~M02.D~M02.DN~M02.DN.2|Thesaurus~Thesaurus Collection~Management~Management operations~Maintenance~Equipment maintenance|Thesaurus~Thesaurus Collection~Industry and technology~Materials~Chemical products~Pesticides~Insecticides|Notation~Notation Collection~P~P03~P03.L~P03.L2,3/8/1979 5:00:00 AM,6/14/2013 3:06:04 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
162675,,"ANNUAL MEETING OF THE NEW JERSEY MOSQUITO EXTERMINATION ASSOCIATION|(1958 : Atlantic City, NJ, US)",,,"MATHIS, WILLIS|SCHOOF, H. F.|FAY, R. W.",,52,M,Conference Proceedings/Paper,,,,PA-5903-7,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1958,1958,,,,,,TOXIC TOLERANCES|MOSQUITOES,,,,PN-RAB-666,,,,,True,F|E,,228 KB,PDF,,,,,,1439,U.S. Public Health Service. Centers for Disease Control (CDC),A,,,,English,application/pdf,T29.7G|T29.42.86.B6,,1,4,,,,,,,,10022,,,,,,FROM RANDD|Converted to searchable PDF 2011-05-10 (exact OCR),KH00,STUDIES ON INSECTICIDE RESISTANCE IN MOSQUITOES,,,,,,10022PN-RAB-666,,D:\Projects\USAID\PDFs\PNRAB666.pdf,001439 - Centers for Disease Control (CDC) (U.S),,,False,EN,Diseases,,Thesaurus~Thesaurus Collection~Science~Biology~Animals~Invertebrates~Arthropods~Insects~Diptera~Mosquitoes|Document Type~Document Type Collection~Technical Reports (all)~Conference Proceedings/Paper|Notation~Notation Collection~T~T29~T29.7~T29.7G|Notation~Notation Collection~T~T29~T29.4~T29.42~T29.42.8~T29.42.86~T29.42.86.B~T29.42.86.B6|Thesaurus~Thesaurus Collection~Science~Biology~Physiology~Toxic tolerances,3/8/1979 5:00:00 AM,6/14/2013 3:06:04 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
162677,,,,,"PEARCE, G. W.|MILES, J. W.|GOETTE, M. B.",,54,A,Other USAID Supported Study/Document,,,,PA-5903-7,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1958,1958,,,,,,INSECTICIDES|Fluid mechanical properties,,,,PN-RAB-668,,,,,True,F|E,,410 KB,PDF,,,,,,1439,U.S. Public Health Service. Centers for Disease Control (CDC),A,,,,English,application/pdf,A30.22|M02.DN.2|T15.53.C|T15.B9.R8,,1,8,,p. 947-953,,,,,,10024,,,,,,FROM RANDD|Converted to searchable PDF 2011-05-10 (exact OCR),KH00,FACTORS AFFECTING THE SUSPENSIBILITY OF DIELDRIN WATER-DISPERSIBLE POWDERS,"WORLD HEALTH ORGANIZATION BULLETIN, v. 20",,,,,10024PN-RAB-668,,D:\Projects\USAID\PDFs\PNRAB668.pdf,001439 - Centers for Disease Control (CDC) (U.S),,,False,EN,Diseases,,Document Type~Document Type Collection~Technical Reports (all)~Other USAID Supported Study/Document|Notation~Notation Collection~A~A30~A30.2~A30.22|Thesaurus~Thesaurus Collection~Science~Physical sciences~Physics~Mechanics~Mechanical properties~Fluid mechanical properties|Thesaurus~Thesaurus Collection~Industry and technology~Materials~Chemical products~Pesticides~Insecticides|Thesaurus~Thesaurus Collection~Science~Physical sciences~Physical properties~Mechanical properties~Fluid mechanical properties|Thesaurus~Thesaurus Collection~Agriculture~Pest control~Pesticides~Insecticides|Notation~Notation Collection~M~M02~M02.D~M02.DN~M02.DN.2|Notation~Notation Collection~T~T15~T15.5~T15.53~T15.53.C|Notation~Notation Collection~T~T15~T15.B~T15.B9~T15.B9.R~T15.B9.R8,3/8/1979 5:00:00 AM,6/14/2013 3:06:04 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
162681,,"MID-YEAR MEETING OF THE CHEMICAL SPECIALITIES MANUFACTURERS|ASSOCIATION (1960 : Chicago, IL, US)",,,"SCHOOF, H. F.",,52,M,Conference Proceedings/Paper,,,,PA-5903-7,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1958,1958,,,,,,Pest control|Insects,,,,PN-RAB-672,,,,,True,F|E,,345 KB,PDF,,,,,,1439,U.S. Public Health Service. Centers for Disease Control (CDC),A,,,,English,application/pdf,A30|T29.42.86,,1,5,,,,,,,,10028,,,,,,FROM RANDD|Converted to searchable PDF 2011-05-10 (exact OCR),KH00,RECENT ADVANCES IN CHEMICAL CONTROL OF MEDICALLY IMPORTANT INSECTS,,,,,,10028PN-RAB-672,,D:\Projects\USAID\PDFs\PNRAB672.pdf,001439 - Centers for Disease Control (CDC) (U.S),,,False,EN,Diseases,,Thesaurus~Thesaurus Collection~Agriculture~Pest control|Notation~Notation Collection~A~A30|Document Type~Document Type Collection~Technical Reports (all)~Conference Proceedings/Paper|Notation~Notation Collection~T~T29~T29.4~T29.42~T29.42.8~T29.42.86|Thesaurus~Thesaurus Collection~Science~Biology~Animals~Invertebrates~Arthropods~Insects,3/8/1979 5:00:00 AM,6/14/2013 3:06:03 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
162683,,,,,"SCHOOF, H. F.",,54,A,Other USAID Supported Study/Document,,,,PA-5903-7,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1958,1958,,,,,,TOXIC TOLERANCES|Pest control|Insects,,,,PN-RAB-674,,,,,True,F|E,,937 KB,PDF,,,,,,1439,U.S. Public Health Service. Centers for Disease Control (CDC),A,,,,English,application/pdf,T29.7G|A30|T29.42.86,,1,12,,p. 3-11,,,,,,10030,,,,,,FROM RANDD|Converted to searchable PDF 2011-05-10 (exact OCR),KH00,"RESISTANCE IN ARTHROPODS OF MEDICAL AND VETERINARY IMPORTANCE, 1946-1958","MISCELLANEOUS PUBLICATION OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,|v. 1, no. 1",,,,,10030PN-RAB-674,,D:\Projects\USAID\PDFs\PNRAB674.pdf,001439 - Centers for Disease Control (CDC) (U.S),,,False,EN,Diseases,,Notation~Notation Collection~T~T29~T29.4~T29.42~T29.42.8~T29.42.86|Notation~Notation Collection~T~T29~T29.7~T29.7G|Document Type~Document Type Collection~Technical Reports (all)~Other USAID Supported Study/Document|Thesaurus~Thesaurus Collection~Science~Biology~Animals~Invertebrates~Arthropods~Insects|Thesaurus~Thesaurus Collection~Science~Biology~Physiology~Toxic tolerances|Notation~Notation Collection~A~A30|Thesaurus~Thesaurus Collection~Agriculture~Pest control,3/8/1979 5:00:00 AM,6/14/2013 3:06:03 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
