ContentItemId,Abstract,Ancilary Data,ARDA Subject Category,ARDA Volume and Issue,Personal Author,Availability,Bibliographic Type Code,Bibliographic Level,Bibtype Name,CD Number,CD Fulltext Database,CD Fulltext Contributing Office,Contract/Grant Number,Cost of Electronic Copy,Cost of Microfiche,Cost of Paper Copy,Date Abstracted and Indexed,Create Date for CD,Date Cataloging Proofed,Date Indexed Only,Date Processing Complete,Date Prepared for Filming,Date of Publication Freeforrm,Date of Publication Fixed,Date of Expected Release to Public,Date Refilmed,Date Returned from Filmer,Date Sent Abstracting Indexing,Date Sent to Filmer,Descriptions from Thesaurus,Secondary Descriptors,Descriptors Geographic,DESCTEMP,Document ID,Edition,Entered By,AID Contact Number Evaluated,Total Evaluation Cost,Exclude from Prjdoc View,File Format,Fulltext External Reference,File Size,File Software and Version,Fulltext,USAID Geography Code,USAID Geography Name,Related Object Link,New Thesaurus Terms,Institution Authority Code,Institution Name,Institution Role,Inventory Location,Inventory Quantity,ISBN,Language of Text,Mime Type,Notation,NTIS Number,Number of Fiche,Number of Fiche Frames,Stategic Objective Number,Pagination,Collation Notes,Prepped By,Project Number,Project9 Prime Dve Activity,Project Sub Number,REC_NO,Related Docs Links,Report Number,Batch,Box,Shelf Location,Special Processing Instructions,Primary Subject,Document Title,Series Title,Document Title Translated,Title Word Alternate Spelling,Web Collection,Abstract or Index,ABIN load Check Field,USAID Project Number,File,Institution or USAID Bureau Author,Institution or USAID Sponsor,Institution or USAID Publisher,Restricted to USAID Only,Language ISO1 Code,Class,Date Processing Started,Category,DateCreated,DateModified,Active,File Processed,Selected for Cataloguing,Not Selected for Cataloguing,Proofed,Indexed,Processing Complete,Restricted,fliqzid,inmCreatedBy,inmWatchers,Thumbnail,Descriptors_Geographic_t,Descriptors_Geographic_t_date,Language_of_Text_t,Language_of_Text_t_date
186553,"This evaluation of the effectiveness of the participant training program in Taiwan was based on written and oral interviews with 172 returned participants and on discussions with supervisors. Recommendations are made on training design, selection procedures, pre-departure preparation, and English language training.  (Author abstract, modified)",,,,,,22,M,Special Evaluation,,,,,,,,8/7/1985 12:00:00 AM,,6/17/1985 12:00:00 AM,8/7/1985 12:00:00 AM,8/7/1985 12:00:00 AM,6/24/1985 12:00:00 AM,Sep 1954,1954-09,,,6/28/1985 12:00:00 AM,7/1/1985 12:00:00 AM,6/24/1985 12:00:00 AM,Participants|Interviews,English as a second language|Participant preparation|Participant program administration,Taiwan,,PN-AAS-433,,LB,,,False,F|E,,"1,992 KB",PDF,,484,"China, Republic of (Taiwan)",,,4306,U.S. Dept. of State. Foreign Operations Administration. Mutual Security Mission to China,A,,,,English,application/pdf,E53.H|T03.GF.X|B11.M3|E75.42|E75.4|G15.2H,,1,37,,,,,,,,33922,,,,,,Participant training|Converted to searchable PDF 2010-06-23 (exact OCR),EF10,"Evaluation of TA program in Taiwan : a firsthand inquiry of returned TA participants, as secured from the participants themselves and from their employers and supervisors",,,,,,33922PN-AAS-433,,D:\Projects\USAID\PDFs\PNAAS433.pdf,004306 - U.S. Dept. of State. Foreign Operations Administration. Mutual Security Mission to China,,,False,En,Basic education,,Thesaurus~Thesaurus Collection~Communication~Languages~English language~English as a second language|Thesaurus~Thesaurus Collection~Geographical areas and countries~Asia~East Asia~Taiwan|Thesaurus~Thesaurus Collection~Education~Educational administration~Participant program administration~Participant preparation|Notation~Notation Collection~G~G15~G15.2~G15.2H|Notation~Notation Collection~E~E53~E53.H|Thesaurus~Thesaurus Collection~Education~Educational administration~Participant program administration|Notation~Notation Collection~E~E75~E75.4~E75.42|Document Type~Document Type Collection~Evaluation (all; inc. Assessments)~Special Evaluation|Thesaurus~Thesaurus Collection~Science~Research~Data collection~Surveys~Interviews|Thesaurus~Thesaurus Collection~Education~Students~Participants|Notation~Notation Collection~E~E75~E75.4|Notation~Notation Collection~T~T03~T03.G~T03.GF~T03.GF.X|Notation~Notation Collection~B~B11~B11.M~B11.M3,6/13/1985 4:00:00 AM,6/10/2012 11:57:28 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
204910,,,,,"Holsoe, Torkel",,54,M,Other USAID Supported Study/Document,,,,,,,,,,2/10/1989 12:00:00 AM,3/27/1989 12:00:00 AM,3/27/1989 12:00:00 AM,2/9/1989 12:00:00 AM,May 1954,1954-05,,,2/21/1989 12:00:00 AM,2/21/1989 12:00:00 AM,2/9/1989 12:00:00 AM,Natural resource management|Natural resource inventories|Protected environmental areas|Agroforestry|Laws and legislation|Timber|Surveying|Botany|Forest resources,,Liberia,,PN-ABB-397,,MK,,,False,F|E,,"5,257 KB",PDF,,,,,,002664|000408|008570,U.S. Dept. of Agriculture. International Agricultural Development Service|U.S. Dept. of Agriculture. Forest Service|USAID. Mission to Liberia,A|A|S,,,,English,application/pdf,R06.2|R18.6|R08.3C.2|R06.23.2|A15.5|J02.D|A02.49.88|M06.3U|T29.V|R02.B5,,1,44,,,ill.,EH,,,,52261,,,8902,37,,Requested from INVRD|Converted to searchable PDF 2010-11-05 (exact OCR),RD50,Forestry opportunities in the Republic of Liberia,,,,,,52261PN-ABB-397,,D:\Projects\USAID\PDFs\PNABB397.pdf,002664 - U.S. Dept. of Agriculture. International Agricultural Development Service|000408 - U.S. Dept. of Agriculture. Forest Service,008570 - USAID. Mission to Liberia,,False,En,Forestry,,Thesaurus~Thesaurus Collection~Agriculture~Forestry~Agroforestry|Notation~Notation Collection~A~A15~A15.5|Thesaurus~Thesaurus Collection~Natural resources and the environment~Environmental protection~Natural resource conservation~In situ conservation~Protected environmental areas|Thesaurus~Thesaurus Collection~Agriculture~Agricultural products~Plant products~Forest products~Wood~Timber|Thesaurus~Thesaurus Collection~Science~Biology~Botany|Notation~Notation Collection~J~J02~J02.D|Notation~Notation Collection~R~R06~R06.2~R06.23~R06.23.2|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Measurement and detection~Surveying|Thesaurus~Thesaurus Collection~Natural resources and the environment~Environmental management~Natural resource management|Thesaurus~Thesaurus Collection~Natural resources and the environment~Environmental management~Natural resource management~Forestry~Agroforestry|Notation~Notation Collection~A~A02~A02.4~A02.49~A02.49.8~A02.49.88|Notation~Notation Collection~R~R06~R06.2|Thesaurus~Thesaurus Collection~Natural resources and the environment~Environmental research~Natural resource inventories|Notation~Notation Collection~T~T29~T29.V|Notation~Notation Collection~R~R08~R08.3~R08.3C~R08.3C.2|Notation~Notation Collection~M~M06~M06.3~M06.3U|Document Type~Document Type Collection~Technical Reports (all)~Other USAID Supported Study/Document|Notation~Notation Collection~R~R18~R18.6|Notation~Notation Collection~R~R02~R02.B~R02.B5|Thesaurus~Thesaurus Collection~Natural resources and the environment~Natural resources~Terrestrial resources~Forest resources|Thesaurus~Thesaurus Collection~Government and law~The state~Laws and legislation,2/3/1989 5:00:00 AM,7/25/2013 12:41:54 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
218055,,Also known as: BLS (Bureau of Labor Statistics) report no. 55,,,"Greenspan, Harry|Burak, Harold|Pretti, Reno",,54,M,Other USAID Supported Study/Document,dex22,,,,,,,,,8/1/1995 12:00:00 AM,11/9/1995 12:00:00 AM,1/25/1996 12:00:00 AM,8/15/1995 12:00:00 AM,Feb 1954,1954-02,,,8/28/1995 12:00:00 AM,8/28/1995 12:00:00 AM,8/16/1995 12:00:00 AM,Industrial machinery,,,,PN-ABJ-002,,HSLB,,,False,F|I|E,,"4,818 KB",PDF,,,,,Induction motors,001160|002674,U.S. Dept. of Labor. Bur. of Labor Statistics|U.S. Foreign Operations Administration (FOA),A|S,,,,English,application/pdf,M06.M2.8,,2,146,,"vi, 142 p.","ill., statistical tables",VM,,,,65418,,,9508,97,,IPCR|HISTORICAL COLLECTION|Sent to REMAC for imaging 6/18/97|Returned from REMAC 7/2/97|REC20|Converted to searchable PDF 2008-10-16 (exact OCR),MD00,5 horsepower induction motors,Case study data on productivity and factory performance,,,,,65418PN-ABJ-002,,D:\Projects\USAID\PDFs\PNABJ002.pdf,001160 - U.S. Dept. of Labor. Bur. of Labor Statistics,002674 - U.S. Foreign Operations Administration (FOA),,False,En,Technology,,Document Type~Document Type Collection~Technical Reports (all)~Other USAID Supported Study/Document|Notation~Notation Collection~M~M06~M06.M~M06.M2~M06.M2.8|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial equipment~Industrial machinery,9/18/1991 4:00:00 AM,3/9/2013 9:09:07 PM,True,False,False,False,False,False,False,,,Guest,,,,,,
218056,,Also known as: BLS (Bureau of Labor Statistics) no. 14,,,"James, Charles M.|Denison, Marjorie C.|et al.",,54,M,Other USAID Supported Study/Document,,,,,,,,,,8/1/1995 12:00:00 AM,11/9/1995 12:00:00 AM,1/25/1996 12:00:00 AM,8/15/1995 12:00:00 AM,Feb 1954,1954-02,,,8/28/1995 12:00:00 AM,8/28/1995 12:00:00 AM,8/16/1995 12:00:00 AM,Industrial efficiency|Heavy industries|Electric machinery,,,,PN-ABJ-003,,HSLB,,,False,F|E,,"1,245 KB",PDF,,,,,Electric motors,009014|001160|002674,University of Pennsylvania. Wharton School of Business. Dept. of Industrial Research|U.S. Dept. of Labor. Bur. of Labor Statistics|U.S. Foreign Operations Administration (FOA),A|A|S,,,,English,application/pdf,M04.PK|M04.3|M06.52.9,,1,36,,"ii, 37 p.",statistical tables,VM,,,,65419,,,9508,97,,IPCR|HISTORICAL COLLECTION|Converted to searchable PDF 2010-12-20 (exact OCR),MD00,Electric motor industry,Case study data on productivity and factory performance,,,,,65419PN-ABJ-003,,D:\Projects\USAID\PDFs\PNABJ003.pdf,009014 - University of Pennsylvania. Wharton School of Business. Dept. of Industrial Research|001160 - U.S. Dept. of Labor. Bur. of Labor Statistics,002674 - U.S. Foreign Operations Administration (FOA),,False,En,Technology,,Notation~Notation Collection~M~M04~M04.3|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial management~Industrial efficiency|Notation~Notation Collection~M~M04~M04.P~M04.PK|Document Type~Document Type Collection~Technical Reports (all)~Other USAID Supported Study/Document|Notation~Notation Collection~M~M06~M06.5~M06.52~M06.52.9|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Electrical technology~Electrical equipment~Electric machinery|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Heavy industries,9/18/1991 4:00:00 AM,3/9/2013 6:38:40 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
218057,,Also known as: BLS (Bureau of Labor Statistics) report no. 69,,,"Hermanson, George A.",,54,M,Other USAID Supported Study/Document,,,,,,,,,,8/1/1995 12:00:00 AM,11/9/1995 12:00:00 AM,1/25/1996 12:00:00 AM,8/15/1995 12:00:00 AM,Oct 1954,1954-10,,,8/28/1995 12:00:00 AM,8/28/1995 12:00:00 AM,8/16/1995 12:00:00 AM,Industrial efficiency|Centrifugal pumps|System design,,,,PN-ABJ-004,,HSLB,,,False,F|E,,"2,230 KB",PDF,,,,,,001160|002674,U.S. Dept. of Labor. Bur. of Labor Statistics|U.S. Foreign Operations Administration (FOA),A|S,,,,English,application/pdf,M04.PK|M06.7R.6|P03.7,,1,65,,"vi, 59 p.","ill., statistical tables",VM,,,,65420,,,9508,97,,IPCR|HISTORICAL COLLECTION|Converted to searchable PDF 2010-12-20 (exact OCR),MD00,Centrifugal pumps,Case study data on productivity and factory performance,,,,,65420PN-ABJ-004,,D:\Projects\USAID\PDFs\PNABJ004.pdf,001160 - U.S. Dept. of Labor. Bur. of Labor Statistics,002674 - U.S. Foreign Operations Administration (FOA),,False,En,Technology,,Notation~Notation Collection~M~M04~M04.P~M04.PK|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Mechanical technology~Pumps~Centrifugal pumps|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial management~Industrial efficiency|Document Type~Document Type Collection~Technical Reports (all)~Other USAID Supported Study/Document|Thesaurus~Thesaurus Collection~Management~Management operations~System design|Notation~Notation Collection~P~P03~P03.7|Notation~Notation Collection~M~M06~M06.7~M06.7R~M06.7R.6,9/18/1991 4:00:00 AM,3/9/2013 5:52:53 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
218116,,,,,"Farr, Donald E.|Grella, Lawrencee B.|Wilkinson, John J.",Best available copy,54,M,Other USAID Supported Study/Document,Fiche007,,,,,,,,,9/20/1991 12:00:00 AM,11/10/1995 12:00:00 AM,1/18/1996 12:00:00 AM,8/18/1995 12:00:00 AM,Jan 1954,1954-01,,,8/28/1995 12:00:00 AM,8/28/1995 12:00:00 AM,8/18/1995 12:00:00 AM,Engineering research|Industrial facilities|Pumps|Windmills,,,,PN-ABJ-045,,PIPMK,,,False,F|I|E,,"2,385 KB",PDF,,,,,,000773|002674,Methods Engineering Council|U.S. Foreign Operations Administration (FOA),A|S,,,,English,application/pdf,T03.2D|M06.X|M04.H|M06.K2.6|M06.7R|F17.2C|M06.B2.D|F19.66.8|M06.B8.66,,1,32,,,"ill., statistical tables",LT,,,,65479,,,9508,98,,HISTORICAL COLLECTION|IPCR|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2007-06-12 (exact OCR),FD00,Requirements for a plant to manufacture pumps and windmill head units,,,,,,65479PN-ABJ-045,,D:\Projects\USAID\PDFs\PNABJ045.pdf,000773 - Methods Engineering Council,002674 - U.S. Foreign Operations Administration (FOA),,False,En,Energy technology,,Thesaurus~Thesaurus Collection~Energy~Electric power generation~Electric power generation equipment~Windmills|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Engineering research|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Energy technology~Electric power generation~Electric power generation equipment~Windmills|Notation~Notation Collection~M~M06~M06.B~M06.B2~M06.B2.D|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities|Notation~Notation Collection~M~M04~M04.H|Notation~Notation Collection~M~M06~M06.B~M06.B8~M06.B8.6~M06.B8.66|Document Type~Document Type Collection~Technical Reports (all)~Other USAID Supported Study/Document|Thesaurus~Thesaurus Collection~Energy~Energy technology~Conventional energy technology~Windmills|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Energy technology~Conventional energy technology~Windmills|Notation~Notation Collection~F~F17~F17.2~F17.2C|Notation~Notation Collection~M~M06~M06.7~M06.7R|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Mechanical technology~Pumps|Notation~Notation Collection~T~T03~T03.2~T03.2D|Thesaurus~Thesaurus Collection~Science~Research~Research (by discipline)~Engineering research|Notation~Notation Collection~F~F19.6~F19.66~F19.66.8|Notation~Notation Collection~M~M06~M06.X,9/20/1991 4:00:00 AM,3/9/2013 5:53:23 PM,True,False,False,False,False,False,False,,,Guest,,,,,,
218211,,,,,,,54,M,Other USAID Supported Study/Document,,,,,,,,,,4/17/1996 12:00:00 AM,8/19/1996 12:00:00 AM,9/11/1996 12:00:00 AM,4/26/1996 12:00:00 AM,Feb 1954,1954-02,,,5/6/1996 12:00:00 AM,5/6/1996 12:00:00 AM,4/26/1996 12:00:00 AM,Industrial productivity|Food industry|Food processing|Preserved foods,,USA,,PN-ABJ-132,,HSLB,,,False,F|E,,"2,652 KB",PDF,,2,United States and District of Columbia,,,001160|002674,U.S. Dept. of Labor. Bur. of Labor Statistics|U.S. Foreign Operations Administration (FOA),A|S,,,,English,application/pdf,M04.Q6|M04.62|M06.N|A02.7J|G06.5A,,1,95,,,,EH,,,,65574,,,9604,84,,IPCR|HISTORICAL COLLECTION|Converted to searchable PDF 2010-12-20 (exact OCR),AQ00,"Case study data on productivity and factory performance -- processed foods : preserves, jams, and jellies","BLS report, no. 57",,,,,65574PN-ABJ-132,,D:\Projects\USAID\PDFs\PNABJ132.pdf,001160 - U.S. Dept. of Labor. Bur. of Labor Statistics,002674 - U.S. Foreign Operations Administration (FOA),,False,En,Food processing,,Thesaurus~Thesaurus Collection~Industry and technology~Technology~Food processing|Document Type~Document Type Collection~Technical Reports (all)~Other USAID Supported Study/Document|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Light industries~Food industry|Notation~Notation Collection~M~M04~M04.Q~M04.Q6|Notation~Notation Collection~A~A02~A02.7~A02.7J|Thesaurus~Thesaurus Collection~Agriculture~Agricultural products~Food~Preserved foods|Notation~Notation Collection~M~M06~M06.N|Notation~Notation Collection~M~M04~M04.6~M04.62|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial economics~Industrial productivity|Thesaurus~Thesaurus Collection~Geographical areas and countries~America~North America~USA|Notation~Notation Collection~G~G06~G06.5~G06.5A,9/25/1991 4:00:00 AM,3/10/2013 6:10:17 AM,True,True,False,False,False,False,False,,,Guest,,,,,,
218299,,,,,,Best available copy,54,M,Other USAID Supported Study/Document,Fiche007,,,,,,,,,5/3/1996 12:00:00 AM,8/20/1996 12:00:00 AM,9/27/1996 12:00:00 AM,5/15/1996 12:00:00 AM,7 Jan 1954,1954-01,,,5/30/1996 12:00:00 AM,5/30/1996 12:00:00 AM,5/15/1996 12:00:00 AM,Food processing facilities|Canned foods|Dried foods,,,,PN-ABJ-170,,PIPLB,,,False,F|I|E,,"2,100 KB",PDF,,,,,,000773|002674,Methods Engineering Council|U.S. Foreign Operations Administration (FOA),A|S,,,,English,application/pdf,M04.HH|M06.NR|A02.7J.2|A02.7J.52,,1,19,,,,EH,,,,65662,,,9605,88,,HISTORICAL COLLECTION|IPCR|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2008-10-16 (exact OCR),AQ00,Requirements for a plant to can and dehydrate food products : an estimate prepared for Foreign Operations Administration,,,,,,65662PN-ABJ-170,,D:\Projects\USAID\PDFs\PNABJ170.pdf,000773 - Methods Engineering Council,002674 - U.S. Foreign Operations Administration (FOA),,False,En,Food processing,,Thesaurus~Thesaurus Collection~Industry and technology~Technology~Food processing~Food processing facilities|Thesaurus~Thesaurus Collection~Agriculture~Agricultural products~Food~Preserved foods~Canned foods|Notation~Notation Collection~M~M06~M06.N~M06.NR|Notation~Notation Collection~M~M04~M04.H~M04.HH|Document Type~Document Type Collection~Technical Reports (all)~Other USAID Supported Study/Document|Notation~Notation Collection~A~A02~A02.7~A02.7J~A02.7J.2|Thesaurus~Thesaurus Collection~Agriculture~Agricultural products~Food~Preserved foods~Dried foods|Notation~Notation Collection~A~A02~A02.7~A02.7J~A02.7J.52|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities~Food processing facilities,9/27/1991 4:00:00 AM,3/9/2013 9:18:28 AM,True,False,False,False,False,False,False,,,Guest,,,,,,
219612,,Includes EARIS (Egyptian-American Rural Improvement Service)|community development agreements,,,,Best available copy -- broken type,16,M,Design/Implementation Workplan,,,,,,,,,,8/14/1995 12:00:00 AM,11/13/1995 12:00:00 AM,2/13/1996 12:00:00 AM,9/8/1995 12:00:00 AM,17 Apr 1954,1954-04,,,10/18/1995 12:00:00 AM,10/18/1995 12:00:00 AM,9/28/1995 12:00:00 AM,Rural development|Development projects|Development programs,,Egypt,,PN-ABK-060,,mcLB,,,False,F|E,,"1,110 KB",PDF,,263,Egypt,,,2859,U.S. Dept. of State. Technical Cooperation Administration (TCA),A,,,,English,application/pdf,L04.F6|J02.57.M8.4|J02.57.M8.2|G03.54|G03.87|G12.5|G25.7,,1,16,,,,LT,,,,66985,,,9509,6,,IPCR|HISTORICAL COLLECTION|Converted to searchable PDF 2010-12-23 (exact OCR),LB10,Program and project agreements signed and under consideration with the Egyptian government as of 17 April 1954,,,,,,66985PN-ABK-060,,D:\Projects\USAID\PDFs\PNABK060.pdf,002859 - U.S. Technical Cooperation Administration (TCA),,,False,En,Rural areas / rural development,,Thesaurus~Thesaurus Collection~Government and law~The state~Government~Public administration~Foreign assistance~Development administration~Development programs|Notation~Notation Collection~G~G03~G03.8~G03.87|Notation~Notation Collection~J~J02~J02.5~J02.57~J02.57.M~J02.57.M8~J02.57.M8.2|Thesaurus~Thesaurus Collection~Geographical areas and countries~Arab countries~Egypt|Thesaurus~Thesaurus Collection~Geographical areas and countries~Africa~North Africa~Egypt|Thesaurus~Thesaurus Collection~Government and law~The state~Government~Public administration~Foreign assistance~Development administration~Development projects|Notation~Notation Collection~G~G25~G25.7|Thesaurus~Thesaurus Collection~Geographical areas and countries~Mediterranean countries~Egypt|Notation~Notation Collection~L~L04~L04.F~L04.F6|Notation~Notation Collection~G~G12~G12.5|Thesaurus~Thesaurus Collection~Human settlements~Settlement regions~Regional development~Rural development|Document Type~Document Type Collection~Design (all)~Design/Implementation Workplan|Notation~Notation Collection~G~G03~G03.5~G03.54|Notation~Notation Collection~J~J02~J02.5~J02.57~J02.57.M~J02.57.M8~J02.57.M8.4|Thesaurus~Thesaurus Collection~Geographical areas and countries~Africa~English speaking Africa~Egypt,1/2/1992 5:00:00 AM,7/18/2013 5:56:45 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
222842,,,,,,,51,M,Assessment,,,,,,,,,,7/18/1995 12:00:00 AM,11/13/1995 12:00:00 AM,1/10/1996 12:00:00 AM,7/31/1995 12:00:00 AM,Nov 1954,1954-11,,,8/21/1995 12:00:00 AM,8/21/1995 12:00:00 AM,8/1/1995 12:00:00 AM,Housing|Housing finance|Technical assistance,,Taiwan,,PN-ABL-793,,MCPC,,,False,F|E,,256 KB,PDF,,484,"China, Republic of (Taiwan)",,,4306,U.S. Dept. of State. Foreign Operations Administration. Mutual Security Mission to China,S,,,,English,application/pdf,L15|M06.K2.F|L15.WB|J02.57.M6.E|J08.EP.E|G15.2H,,1,9,,,,VM,,,,70225,,,9507,93,,IPCR|REQUESTED FROM INVRD|Converted to searchable PDF 2011-01-03 (exact OCR),LC00,"Housing : a resume of US technical assistance to housing in Free China, 1954",,,,,,70225PN-ABL-793,,D:\Projects\USAID\PDFs\PNABL793.pdf,,004306 - U.S. Dept. of State. Foreign Operations Administration. Mutual Security Mission to China,,False,En,Housing,,Notation~Notation Collection~J~J08~J08.E~J08.EP~J08.EP.E|Thesaurus~Thesaurus Collection~Government and law~International politics~International relations~Foreign assistance~Technical assistance|Notation~Notation Collection~J~J02~J02.5~J02.57~J02.57.M~J02.57.M6~J02.57.M6.E|Document Type~Document Type Collection~Technical Reports (all)~Assessment|Notation~Notation Collection~L~L15~L15.W~L15.WB|Notation~Notation Collection~L~L15|Thesaurus~Thesaurus Collection~Government and law~The state~Government~Public administration~Foreign assistance~Development assistance~Technical assistance|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.F|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Housing|Notation~Notation Collection~G~G15~G15.2~G15.2H|Thesaurus~Thesaurus Collection~Human settlements~Housing|Thesaurus~Thesaurus Collection~Human settlements~Housing~Housing economics~Housing finance|Thesaurus~Thesaurus Collection~Geographical areas and countries~Asia~East Asia~Taiwan,9/10/1992 4:00:00 AM,3/9/2013 10:47:42 AM,True,True,False,False,False,False,False,,,Guest,,,,,,
